X,Y,Z0
124.0,-16.0,1.0036932229995728
124.0,-14.0,1.003058910369873
124.0,-12.0,1.0024001598358154
124.0,-10.0,1.0020865201950073
124.0,-8.0,1.002094030380249
124.0,-6.0,1.002173900604248
124.0,-4.0,1.002087116241455
124.0,-2.0,1.0016112327575684
124.0,0.0,1.0010621547698975
124.0,2.0,1.0008207559585571
124.0,4.0,1.0008463859558105
124.0,6.0,1.0011157989501953
124.0,8.0,1.001426100730896
124.0,10.0,1.0015476942062378
124.0,12.0,1.0015815496444702
124.0,14.0,1.0016660690307617
124.0,16.0,1.0019052028656006
124.0,18.0,1.0026153326034546
124.0,20.0,1.0035873651504517
124.0,22.0,1.003946304321289
124.0,24.0,1.003494143486023
124.0,26.0,1.0021183490753174
124.0,28.0,1.0005823373794556
124.0,30.0,0.9988300204277039
124.0,32.0,0.9980030655860901
124.0,34.0,0.9983429908752441
124.0,36.0,0.998439371585846
124.0,38.0,0.9976713061332703
124.0,40.0,0.9971596598625183
126.0,-14.0,1.002826452255249
126.0,-12.0,1.0022656917572021
126.0,-10.0,1.0018911361694336
126.0,-8.0,1.0018476247787476
126.0,-6.0,1.0019972324371338
126.0,-4.0,1.0019268989562988
126.0,-2.0,1.0015662908554077
126.0,0.0,1.0010395050048828
126.0,2.0,1.0007613897323608
126.0,4.0,1.000773549079895
126.0,6.0,1.0009320974349976
126.0,10.0,1.0012445449829102
126.0,12.0,1.0012701749801636
126.0,14.0,1.0014135837554932
126.0,16.0,1.001841425895691
126.0,18.0,1.002718210220337
126.0,20.0,1.0039194822311401
126.0,22.0,1.0046945810317993
126.0,24.0,1.0045291185379028
126.0,26.0,1.0032918453216553
126.0,28.0,1.0020889043807983
126.0,30.0,1.0014703273773193
126.0,32.0,1.0012896060943604
126.0,34.0,1.0012069940567017
126.0,36.0,1.0005393028259277
126.0,38.0,0.999529242515564
126.0,40.0,0.9991186261177063
128.0,-12.0,1.0021686553955078
128.0,-10.0,1.0017575025558472
128.0,-8.0,1.00168776512146
128.0,-6.0,1.001784086227417
128.0,-4.0,1.0016697645187378
128.0,-2.0,1.0012657642364502
128.0,0.0,1.0008225440979004
128.0,2.0,1.0006495714187622
128.0,4.0,1.00068998336792
128.0,6.0,1.0008093118667603
128.0,8.0,1.0009403228759766
128.0,10.0,1.000993251800537
128.0,12.0,1.0010420083999634
128.0,14.0,1.0012476444244385
128.0,16.0,1.001776933670044
128.0,18.0,1.0027726888656616
128.0,20.0,1.0040990114212036
128.0,22.0,1.0051349401474
128.0,24.0,1.0051820278167725
128.0,26.0,1.0040881633758545
128.0,28.0,1.0029867887496948
128.0,30.0,1.0026352405548096
128.0,32.0,1.0028706789016724
128.0,34.0,1.0031108856201172
130.0,-14.0,1.0028959512710571
130.0,-12.0,1.002225637435913
130.0,-10.0,1.001688003540039
130.0,-8.0,1.0014867782592773
130.0,-6.0,1.0015331506729126
130.0,-4.0,1.001348614692688
130.0,-2.0,1.000927448272705
130.0,0.0,1.0005688667297363
130.0,2.0,1.0004884004592896
130.0,4.0,1.0005812644958496
130.0,6.0,1.0006979703903198
130.0,8.0,1.0007266998291016
130.0,10.0,1.000730276107788
130.0,12.0,1.0007617473602295
130.0,14.0,1.0010076761245728
130.0,16.0,1.0015650987625122
130.0,18.0,1.0025253295898438
130.0,20.0,1.0038129091262817
130.0,22.0,1.0048530101776123
130.0,24.0,1.0051120519638062
130.0,26.0,1.004225254058838
130.0,28.0,1.0031729936599731
130.0,30.0,1.0027358531951904
130.0,32.0,1.0030416250228882
130.0,34.0,1.0035673379898071
130.0,36.0,1.0032641887664795
130.0,38.0,1.000967264175415
130.0,40.0,0.9968116283416748
130.0,42.0,0.993075966835022
132.0,-12.0,1.0020058155059814
132.0,-10.0,1.0015192031860352
132.0,-8.0,1.0012983083724976
132.0,-6.0,1.001229166984558
132.0,-4.0,1.000993251800537
132.0,-2.0,1.0006403923034668
132.0,0.0,1.000363826751709
132.0,2.0,1.000336766242981
132.0,4.0,1.0004600286483765
132.0,6.0,1.0004689693450928
132.0,8.0,1.000463843345642
132.0,10.0,1.000383973121643
132.0,12.0,1.0004808902740479
132.0,14.0,1.0007482767105103
132.0,16.0,1.0012297630310059
132.0,18.0,1.0020393133163452
132.0,20.0,1.0030622482299805
132.0,22.0,1.003921627998352
132.0,24.0,1.004213571548462
132.0,26.0,1.003616213798523
132.0,28.0,1.0028245449066162
132.0,30.0,1.0023903846740723
132.0,32.0,1.0024490356445312
132.0,34.0,1.0027605295181274
132.0,36.0,1.002421498298645
132.0,38.0,1.0007318258285522
132.0,40.0,0.9976133704185486
132.0,42.0,0.994749128818512
134.0,-10.0,1.001186490058899
134.0,-8.0,1.001025915145874
134.0,-6.0,1.000877857208252
134.0,-4.0,1.000632643699646
134.0,-2.0,1.0003927946090698
134.0,0.0,1.0002126693725586
134.0,2.0,1.0002176761627197
134.0,4.0,1.0002611875534058
134.0,6.0,1.0002248287200928
134.0,8.0,1.0001627206802368
134.0,10.0,1.000142216682434
134.0,12.0,1.0002423524856567
134.0,14.0,1.0004914999008179
134.0,16.0,1.0008984804153442
134.0,18.0,1.001487135887146
134.0,20.0,1.002194881439209
134.0,22.0,1.002785086631775
134.0,24.0,1.0030373334884644
134.0,26.0,1.0027786493301392
134.0,28.0,1.0023964643478394
134.0,30.0,1.0020849704742432
134.0,32.0,1.0019729137420654
134.0,34.0,1.0019822120666504
134.0,36.0,1.001825213432312
134.0,38.0,1.0009604692459106
134.0,40.0,0.9993473887443542
134.0,42.0,0.9981206059455872
136.0,-10.0,1.0007476806640625
136.0,-8.0,1.0006818771362305
136.0,-6.0,1.0005998611450195
136.0,-4.0,1.0004773139953613
136.0,-2.0,1.000209093093872
136.0,0.0,1.0001095533370972
136.0,2.0,1.0001341104507446
136.0,4.0,1.0000957250595093
136.0,6.0,1.0000158548355103
136.0,8.0,0.9999569654464722
136.0,10.0,0.9999489188194275
136.0,12.0,1.0000208616256714
136.0,14.0,1.0002139806747437
136.0,16.0,1.0005366802215576
136.0,18.0,1.0009956359863281
136.0,20.0,1.0014909505844116
136.0,22.0,1.0019004344940186
136.0,24.0,1.0021579265594482
136.0,26.0,1.0022304058074951
136.0,28.0,1.0021867752075195
136.0,30.0,1.0019689798355103
136.0,32.0,1.001802682876587
136.0,34.0,1.0017391443252563
136.0,36.0,1.001777172088623
136.0,38.0,1.0017613172531128
136.0,40.0,1.0013521909713745
136.0,42.0,1.000795602798462
136.0,44.0,1.0010541677474976
138.0,-14.0,1.0010496377944946
138.0,-12.0,1.0007343292236328
138.0,-10.0,1.0004751682281494
138.0,-8.0,1.000373125076294
138.0,-6.0,1.0004169940948486
138.0,0.0,1.0001006126403809
138.0,2.0,1.0000859498977661
138.0,4.0,1.000008463859558
138.0,6.0,0.999912440776825
138.0,8.0,0.9997935891151428
138.0,10.0,0.9997813701629639
138.0,12.0,0.9998030066490173
138.0,14.0,0.9999223947525024
138.0,16.0,1.0001847743988037
138.0,18.0,1.0005667209625244
138.0,20.0,1.000959873199463
138.0,22.0,1.0013641119003296
138.0,24.0,1.0017608404159546
138.0,26.0,1.0021253824234009
138.0,28.0,1.0022577047348022
138.0,30.0,1.002016544342041
138.0,32.0,1.001757264137268
138.0,34.0,1.001751184463501
138.0,38.0,1.0029743909835815
138.0,40.0,1.0032837390899658
138.0,42.0,1.0029186010360718
138.0,44.0,1.0027213096618652
138.0,46.0,1.0028786659240723
138.0,54.0,0.9820771217346191
138.0,56.0,0.9883285760879517
140.0,-16.0,1.0014679431915283
140.0,-14.0,1.0010788440704346
140.0,-12.0,1.000632882118225
140.0,-10.0,1.0002858638763428
140.0,-8.0,1.0002139806747437
140.0,-2.0,0.999957263469696
140.0,0.0,1.0000839233398438
140.0,2.0,1.0001293420791626
140.0,4.0,0.9999976754188538
140.0,6.0,0.9998756647109985
140.0,8.0,0.9997297525405884
140.0,10.0,0.9996485114097595
140.0,12.0,0.9996262192726135
140.0,14.0,0.9997071027755737
140.0,16.0,0.9998819828033447
140.0,18.0,1.0001797676086426
140.0,20.0,1.0005711317062378
140.0,22.0,1.0010735988616943
140.0,24.0,1.001714825630188
140.0,26.0,1.0022269487380981
140.0,28.0,1.0023595094680786
140.0,30.0,1.0019234418869019
140.0,32.0,1.0015791654586792
140.0,34.0,1.001741886138916
140.0,36.0,1.0023123025894165
140.0,40.0,1.004766583442688
140.0,42.0,1.0046241283416748
140.0,44.0,1.0036289691925049
140.0,46.0,1.0025495290756226
140.0,48.0,1.0012409687042236
140.0,54.0,0.9881585240364075
140.0,56.0,0.9902578592300415
140.0,58.0,0.9936352968215942
142.0,-16.0,1.0013623237609863
142.0,-14.0,1.0008097887039185
142.0,-12.0,1.0003297328948975
142.0,-10.0,1.0000540018081665
142.0,-2.0,0.9999582767486572
142.0,0.0,1.0000776052474976
142.0,2.0,1.0001718997955322
142.0,4.0,1.000099539756775
142.0,6.0,0.9999180436134338
142.0,8.0,0.9997606873512268
142.0,10.0,0.9996383786201477
142.0,12.0,0.9995400905609131
142.0,14.0,0.999518096446991
142.0,16.0,0.9996339082717896
142.0,18.0,0.9998894333839417
142.0,20.0,1.0002814531326294
142.0,22.0,1.0009247064590454
142.0,24.0,1.0016834735870361
142.0,26.0,1.0022108554840088
142.0,28.0,1.002217411994934
142.0,30.0,1.0016067028045654
142.0,32.0,1.0011677742004395
142.0,34.0,1.0013009309768677
142.0,36.0,1.0017634630203247
142.0,38.0,1.002217173576355
142.0,42.0,1.003926157951355
142.0,44.0,1.0026359558105469
142.0,46.0,1.000648856163025
142.0,48.0,0.9991790652275085
142.0,50.0,0.9962121844291687
142.0,52.0,0.9893219470977783
142.0,54.0,0.9918213486671448
142.0,56.0,0.9951850175857544
142.0,58.0,0.9964925646781921
144.0,-12.0,1.0000091791152954
144.0,-10.0,0.9998373985290527
144.0,-8.0,0.9997342228889465
144.0,-2.0,0.9999691247940063
144.0,0.0,1.000160574913025
144.0,2.0,1.0002100467681885
144.0,4.0,1.0001963376998901
144.0,6.0,1.0000191926956177
144.0,8.0,0.9998199343681335
144.0,10.0,0.999643862247467
144.0,12.0,0.9995179176330566
144.0,14.0,0.999435305595398
144.0,16.0,0.9994825720787048
144.0,18.0,0.9996728301048279
144.0,20.0,1.0001088380813599
144.0,22.0,1.0008567571640015
144.0,24.0,1.0016659498214722
144.0,26.0,1.0020952224731445
144.0,28.0,1.0018260478973389
144.0,30.0,1.001035451889038
144.0,32.0,1.0006253719329834
144.0,34.0,1.0006310939788818
144.0,36.0,1.0007966756820679
144.0,38.0,1.0005865097045898
144.0,40.0,1.000168800354004
144.0,42.0,1.0001661777496338
144.0,46.0,0.9964335560798645
144.0,48.0,0.9972830414772034
144.0,50.0,0.9988811016082764
144.0,52.0,0.9984883069992065
144.0,54.0,1.000245451927185
144.0,56.0,1.0015515089035034
144.0,58.0,0.9993511438369751
144.0,60.0,0.9981576800346375
146.0,-16.0,1.0001095533370972
146.0,-14.0,1.0000280141830444
146.0,-12.0,0.9999222755432129
146.0,-10.0,0.9997857809066772
146.0,-8.0,0.9996748566627502
146.0,-4.0,0.9997627139091492
146.0,-2.0,0.9999685883522034
146.0,0.0,1.0002202987670898
146.0,2.0,1.0002254247665405
146.0,4.0,1.0002062320709229
146.0,6.0,1.000051498413086
146.0,8.0,0.9998430609703064
146.0,10.0,0.9996593594551086
146.0,12.0,0.999518632888794
146.0,14.0,0.9994191527366638
146.0,16.0,0.999403715133667
146.0,18.0,0.9995375871658325
146.0,20.0,0.9999430775642395
146.0,22.0,1.0007630586624146
146.0,24.0,1.0016010999679565
146.0,26.0,1.0019469261169434
146.0,28.0,1.0015047788619995
146.0,30.0,1.000692367553711
146.0,32.0,1.0002386569976807
146.0,34.0,1.000287652015686
146.0,36.0,1.0001534223556519
146.0,38.0,0.99922114610672
146.0,40.0,0.9978798627853394
146.0,42.0,0.997168242931366
146.0,44.0,0.997055172920227
146.0,46.0,0.998904824256897
146.0,48.0,1.0023410320281982
146.0,50.0,1.002249002456665
146.0,52.0,1.0035091638565063
146.0,54.0,1.0046910047531128
146.0,56.0,1.004468560218811
146.0,58.0,1.0022677183151245
146.0,60.0,1.0015805959701538
148.0,-18.0,1.000046968460083
148.0,-16.0,1.0000498294830322
148.0,-14.0,1.0000251531600952
148.0,-12.0,0.9998500347137451
148.0,-10.0,0.9997198581695557
148.0,-6.0,0.9996013045310974
148.0,-4.0,0.9998117685317993
148.0,-2.0,1.0000708103179932
148.0,0.0,1.0002586841583252
148.0,2.0,1.0002460479736328
148.0,4.0,1.000156283378601
148.0,6.0,1.0000369548797607
148.0,8.0,0.9998691082000732
148.0,10.0,0.9997096061706543
148.0,12.0,0.9995585680007935
148.0,14.0,0.9994362592697144
148.0,16.0,0.9993968605995178
148.0,18.0,0.999472439289093
148.0,20.0,0.9998406171798706
148.0,22.0,1.0006072521209717
148.0,24.0,1.0014715194702148
148.0,26.0,1.0019078254699707
148.0,28.0,1.001593828201294
148.0,30.0,1.0008336305618286
148.0,32.0,1.0004312992095947
148.0,34.0,1.0005085468292236
148.0,36.0,1.0004608631134033
148.0,38.0,0.9990966320037842
148.0,40.0,0.9966632723808289
148.0,42.0,0.9957261681556702
148.0,44.0,0.9964843392372131
148.0,46.0,0.9988349080085754
148.0,48.0,1.0019949674606323
148.0,50.0,1.0030485391616821
148.0,52.0,1.0037009716033936
148.0,54.0,1.0032657384872437
148.0,56.0,1.0053646564483643
148.0,58.0,1.0043859481811523
148.0,60.0,1.0015939474105835
150.0,-22.0,1.0002236366271973
150.0,-20.0,1.0001410245895386
150.0,-18.0,1.0000226497650146
150.0,-16.0,1.0000280141830444
150.0,-14.0,1.000019907951355
150.0,-12.0,0.9998911619186401
150.0,-10.0,0.9996554851531982
150.0,-8.0,0.9994610548019409
150.0,-6.0,0.9995892643928528
150.0,-4.0,0.9998679757118225
150.0,-2.0,1.00017511844635
150.0,0.0,1.000300645828247
150.0,2.0,1.000241994857788
150.0,4.0,1.0001367330551147
150.0,6.0,1.0000454187393188
150.0,8.0,0.9999333024024963
150.0,10.0,0.9997720122337341
150.0,12.0,0.9996127486228943
150.0,14.0,0.9995059370994568
150.0,16.0,0.9994565844535828
150.0,18.0,0.9994707107543945
150.0,20.0,0.9997655153274536
150.0,22.0,1.0004069805145264
150.0,24.0,1.0011961460113525
150.0,26.0,1.001686453819275
150.0,28.0,1.001619577407837
150.0,30.0,1.0011307001113892
150.0,32.0,1.0008659362792969
150.0,34.0,1.0010074377059937
150.0,36.0,1.001174807548523
150.0,38.0,0.9998677968978882
150.0,40.0,0.996928334236145
150.0,42.0,0.9954051971435547
150.0,44.0,0.9963911175727844
150.0,46.0,0.9986951947212219
150.0,48.0,1.0009464025497437
150.0,50.0,1.0027778148651123
150.0,52.0,1.0035711526870728
150.0,54.0,1.0040966272354126
150.0,56.0,1.004347562789917
150.0,58.0,1.005057454109192
150.0,60.0,1.00229811668396
152.0,-22.0,0.9999639391899109
152.0,-20.0,1.0000203847885132
152.0,-18.0,0.9999864101409912
152.0,-16.0,1.0000381469726562
152.0,-14.0,1.0000401735305786
152.0,-12.0,1.0000158548355103
152.0,-10.0,0.999710202217102
152.0,-8.0,0.999494194984436
152.0,-6.0,0.9996298551559448
152.0,-4.0,1.000013828277588
152.0,-2.0,1.000256896018982
152.0,0.0,1.0003390312194824
152.0,2.0,1.0002591609954834
152.0,4.0,1.0001355409622192
152.0,6.0,1.0000526905059814
152.0,8.0,0.9999732375144958
152.0,10.0,0.9998289942741394
152.0,12.0,0.9996954202651978
152.0,14.0,0.999596357345581
152.0,16.0,0.9995602369308472
152.0,18.0,0.9995274543762207
152.0,20.0,0.9997553825378418
152.0,22.0,1.000173807144165
152.0,24.0,1.0007799863815308
152.0,26.0,1.0011667013168335
152.0,28.0,1.0012301206588745
152.0,30.0,1.001077651977539
152.0,32.0,1.0009605884552002
152.0,34.0,1.0010420083999634
152.0,36.0,1.0013922452926636
152.0,38.0,1.0004770755767822
152.0,40.0,0.9977322220802307
152.0,42.0,0.9957483410835266
152.0,44.0,0.9963757395744324
152.0,46.0,0.9985194802284241
152.0,48.0,1.000459909439087
152.0,50.0,1.0016473531723022
152.0,52.0,1.0023508071899414
152.0,54.0,1.0027607679367065
152.0,56.0,1.0031416416168213
152.0,58.0,1.003600835800171
152.0,60.0,1.0016478300094604
154.0,-30.0,0.9978654384613037
154.0,-28.0,0.9984076023101807
154.0,-26.0,0.9989181160926819
154.0,-24.0,0.9994342923164368
154.0,-22.0,0.9997880458831787
154.0,-20.0,0.9999406337738037
154.0,-18.0,0.9999920129776001
154.0,-16.0,1.000051498413086
154.0,-14.0,1.0000183582305908
154.0,-12.0,0.9999305009841919
154.0,-10.0,0.9997119307518005
154.0,-8.0,0.9995474219322205
154.0,-6.0,0.999747097492218
154.0,-4.0,1.0000993013381958
154.0,-2.0,1.0002403259277344
154.0,0.0,1.0003317594528198
154.0,2.0,1.0002455711364746
154.0,4.0,1.0000971555709839
154.0,6.0,1.0000178813934326
154.0,8.0,0.9999508857727051
154.0,10.0,0.9998529553413391
154.0,12.0,0.999769926071167
154.0,14.0,0.9996806383132935
154.0,16.0,0.9996687769889832
154.0,18.0,0.9996357560157776
154.0,20.0,0.9998045563697815
154.0,22.0,1.0000526905059814
154.0,24.0,1.0003973245620728
154.0,26.0,1.0006282329559326
154.0,28.0,1.0007567405700684
154.0,30.0,1.000709891319275
154.0,32.0,1.0005335807800293
154.0,34.0,1.0006407499313354
154.0,36.0,1.0009922981262207
154.0,38.0,1.000478744506836
154.0,40.0,0.9981077313423157
154.0,42.0,0.9959619045257568
154.0,44.0,0.9961323738098145
154.0,46.0,0.9979400038719177
154.0,48.0,0.9996932148933411
154.0,50.0,1.0005263090133667
154.0,52.0,1.0012184381484985
154.0,54.0,1.0015565156936646
154.0,56.0,1.0024256706237793
154.0,58.0,1.0023895502090454
156.0,-30.0,0.9981770515441895
156.0,-28.0,0.9985697269439697
156.0,-26.0,0.9989830255508423
156.0,-24.0,0.9993893504142761
156.0,-22.0,0.999742865562439
156.0,-20.0,0.9999533891677856
156.0,-18.0,1.0000327825546265
156.0,-16.0,1.0000349283218384
156.0,-14.0,0.9999488592147827
156.0,-12.0,0.9998241066932678
156.0,-10.0,0.9996787905693054
156.0,-8.0,0.9997230768203735
156.0,-6.0,0.99995356798172
156.0,-4.0,1.0001407861709595
156.0,-2.0,1.0002949237823486
156.0,0.0,1.0003480911254883
156.0,2.0,1.0002299547195435
156.0,4.0,1.0000536441802979
156.0,6.0,0.9999810457229614
156.0,8.0,0.9999213814735413
156.0,10.0,0.9998409152030945
156.0,12.0,0.9998307824134827
156.0,14.0,0.9997773170471191
156.0,16.0,0.9997678995132446
156.0,18.0,0.9997375011444092
156.0,20.0,0.9999138712882996
156.0,22.0,1.0001029968261719
156.0,24.0,1.0002962350845337
156.0,26.0,1.000498652458191
156.0,28.0,1.000580072402954
156.0,30.0,1.0005298852920532
156.0,32.0,1.0003784894943237
156.0,34.0,1.0004891157150269
156.0,36.0,1.0008490085601807
156.0,38.0,1.000523328781128
156.0,40.0,0.9983924031257629
156.0,42.0,0.996023952960968
156.0,44.0,0.9961293339729309
156.0,46.0,0.9975882172584534
156.0,48.0,0.9987836480140686
156.0,50.0,0.9995805025100708
156.0,52.0,1.0001122951507568
156.0,54.0,1.000514030456543
156.0,56.0,1.0014358758926392
156.0,58.0,1.000231385231018
156.0,60.0,0.9990043044090271
158.0,-30.0,0.998585045337677
158.0,-28.0,0.998863697052002
158.0,-26.0,0.9991723299026489
158.0,-24.0,0.9995076060295105
158.0,-22.0,0.9998207688331604
158.0,-20.0,1.0000486373901367
158.0,-18.0,1.0000789165496826
158.0,-16.0,1.0000094175338745
158.0,-14.0,0.9998972415924072
158.0,-12.0,0.9997824430465698
158.0,-10.0,0.9997962713241577
158.0,-8.0,0.9998976588249207
158.0,-6.0,1.0000842809677124
158.0,-4.0,1.0002573728561401
158.0,-2.0,1.000433325767517
158.0,0.0,1.0004092454910278
158.0,2.0,1.0002272129058838
158.0,4.0,1.0000110864639282
158.0,6.0,0.9999334216117859
158.0,8.0,0.9998877644538879
158.0,10.0,0.9998617768287659
158.0,12.0,0.9998757839202881
158.0,14.0,0.9998727440834045
158.0,16.0,0.9998721480369568
158.0,18.0,0.9998306035995483
158.0,20.0,1.000024676322937
158.0,22.0,1.0002399682998657
158.0,24.0,1.0003875494003296
158.0,26.0,1.000692367553711
158.0,28.0,1.0007638931274414
158.0,30.0,1.000712513923645
158.0,32.0,1.000714659690857
158.0,34.0,1.0011062622070312
158.0,36.0,1.001727819442749
158.0,38.0,1.0015870332717896
158.0,40.0,0.999448835849762
158.0,42.0,0.9969239830970764
158.0,44.0,0.9968214631080627
158.0,46.0,0.9978522062301636
158.0,48.0,0.9986798763275146
158.0,50.0,0.9989601373672485
158.0,52.0,0.9991434216499329
158.0,60.0,0.9981176257133484
160.0,-30.0,0.9988333582878113
160.0,-28.0,0.999112606048584
160.0,-26.0,0.9993752241134644
160.0,-24.0,0.9996845126152039
160.0,-22.0,0.9999712109565735
160.0,-20.0,1.000162124633789
160.0,-18.0,1.0001732110977173
160.0,-16.0,1.0000877380371094
160.0,-14.0,0.9999783039093018
160.0,-12.0,0.9998793005943298
160.0,-10.0,1.000013828277588
160.0,-8.0,1.0000879764556885
160.0,-6.0,1.0002188682556152
160.0,-4.0,1.0004017353057861
160.0,-2.0,1.0005762577056885
160.0,0.0,1.0005362033843994
160.0,2.0,1.000331997871399
160.0,4.0,1.0000044107437134
160.0,6.0,0.9999598860740662
160.0,8.0,0.999891459941864
160.0,10.0,0.9999255537986755
160.0,12.0,0.9999330043792725
160.0,14.0,0.9999704360961914
160.0,16.0,0.9999425411224365
160.0,18.0,0.9999722242355347
160.0,20.0,1.0001344680786133
160.0,22.0,1.000372290611267
160.0,24.0,1.0004643201828003
160.0,26.0,1.0007734298706055
160.0,28.0,1.0008363723754883
160.0,30.0,1.0008466243743896
160.0,32.0,1.0011922121047974
160.0,34.0,1.002013087272644
160.0,36.0,1.0032191276550293
160.0,38.0,1.0038317441940308
160.0,40.0,1.0018712282180786
160.0,42.0,0.9988982081413269
160.0,44.0,0.998257040977478
160.0,46.0,0.999022364616394
160.0,48.0,0.9996205568313599
160.0,50.0,0.9994663596153259
160.0,52.0,0.9983512759208679
160.0,54.0,0.9981682300567627
160.0,60.0,0.9974235892295837
162.0,-30.0,0.998893678188324
162.0,-28.0,0.9992331862449646
162.0,-26.0,0.9995251297950745
