X,Y,Z0
124.0,-16.0,0.9982748031616211
124.0,-14.0,0.9985718131065369
124.0,-12.0,0.9987040758132935
124.0,-10.0,0.9989412426948547
124.0,-8.0,0.9991387724876404
124.0,-6.0,0.9990503191947937
124.0,-4.0,0.9986547827720642
124.0,-2.0,0.9986547827720642
124.0,0.0,0.9980517029762268
124.0,2.0,0.99774569272995
124.0,4.0,0.9976165890693665
124.0,6.0,0.9975822567939758
124.0,8.0,0.997322678565979
124.0,10.0,0.9975228905677795
124.0,12.0,0.9978944063186646
124.0,14.0,0.9979100227355957
124.0,16.0,0.9979014992713928
124.0,18.0,0.9983754754066467
124.0,20.0,0.9985355734825134
124.0,22.0,0.9985994696617126
124.0,24.0,0.9982448816299438
124.0,26.0,0.9977908134460449
124.0,28.0,0.9977494478225708
124.0,30.0,0.9981498122215271
124.0,32.0,0.9988577961921692
124.0,34.0,0.9995187520980835
124.0,36.0,0.999640941619873
124.0,38.0,0.9995747208595276
124.0,40.0,0.999610960483551
126.0,-14.0,0.9983422160148621
126.0,-12.0,0.9987971186637878
126.0,-10.0,0.9989758729934692
126.0,-8.0,0.9989942312240601
126.0,-6.0,0.9993728995323181
126.0,-4.0,0.9991503953933716
126.0,-2.0,0.9985830187797546
126.0,0.0,0.9982386231422424
126.0,2.0,0.9976981282234192
126.0,4.0,0.9975225925445557
126.0,6.0,0.997753381729126
126.0,10.0,0.9979038238525391
126.0,12.0,0.9979928135871887
126.0,14.0,0.9979601502418518
126.0,16.0,0.9980646371841431
126.0,18.0,0.9980761408805847
126.0,20.0,0.9983758330345154
126.0,22.0,0.9980416297912598
126.0,24.0,0.9980367422103882
126.0,26.0,0.9979568719863892
126.0,28.0,0.9977959990501404
126.0,30.0,0.9982328414916992
126.0,32.0,0.9989712834358215
126.0,34.0,0.9992662072181702
126.0,36.0,0.9995182752609253
126.0,38.0,0.9991030693054199
126.0,40.0,0.9999133348464966
128.0,-12.0,0.9990128874778748
128.0,-10.0,0.9991312026977539
128.0,-8.0,0.9989481568336487
128.0,-6.0,0.9991235136985779
128.0,-4.0,0.9992313981056213
128.0,-2.0,0.998765230178833
128.0,0.0,0.998441755771637
128.0,2.0,0.9980097413063049
128.0,4.0,0.9978888630867004
128.0,6.0,0.9977357983589172
128.0,8.0,0.9978587627410889
128.0,10.0,0.9980171322822571
128.0,12.0,0.9981504678726196
128.0,14.0,0.998077392578125
128.0,16.0,0.9979423880577087
128.0,18.0,0.9980472326278687
128.0,20.0,0.9979381561279297
128.0,22.0,0.9978747367858887
128.0,24.0,0.9980449676513672
128.0,26.0,0.997800350189209
128.0,28.0,0.9981331825256348
128.0,30.0,0.9990019202232361
128.0,32.0,0.99989253282547
128.0,34.0,0.99966961145401
130.0,-14.0,0.9988767504692078
130.0,-12.0,0.9988923072814941
130.0,-10.0,0.9992219805717468
130.0,-8.0,0.9991510510444641
130.0,-6.0,0.9994814991950989
130.0,-4.0,0.9992635846138
130.0,-2.0,0.9989171624183655
130.0,0.0,0.9986138343811035
130.0,2.0,0.9980942010879517
130.0,4.0,0.9977405071258545
130.0,6.0,0.9981515407562256
130.0,8.0,0.9983258843421936
130.0,10.0,0.9980885982513428
130.0,12.0,0.9981982111930847
130.0,14.0,0.9980804324150085
130.0,16.0,0.9978182911872864
130.0,18.0,0.9977391958236694
130.0,20.0,0.9976499676704407
130.0,22.0,0.9979514479637146
130.0,24.0,0.9978746771812439
130.0,26.0,0.9982242584228516
