X,Y,Z1,Z2,Z3,Z4,Z5,Z6,Z7
124.0,-16.0,0.80656439529076,0.9102747056724938,0.8752408134141991,0.8947199429183018,0.9418123439172316,0.8844809133071709,0.8696039957188726
124.0,-14.0,0.8031038173385658,0.9191937210132002,0.8696396717802355,0.9062433107384945,0.9174455940064217,0.8724224045665359,0.860542276132715
124.0,-12.0,0.8210132001427042,0.9015340706386015,0.874848376739208,0.8764181234391724,0.8947556189796646,0.8530503032465215,0.8527292186942561
124.0,-10.0,0.8386014983945772,0.889975026757046,0.8374598644309668,0.8604352479486265,0.8335354976810561,0.8117731002497324,0.8175526221905102
124.0,-8.0,0.8333571173742419,0.8518373171601855,0.8417409917945059,0.8297895112379593,0.7949696753478416,0.7749910809846593,0.7702461648234035
124.0,-6.0,0.8397788084195505,0.8503032465215841,0.8143774527292187,0.8325722440242598,0.7797359971459151,0.7513021762397432,0.7669639671780235
124.0,-4.0,0.8205137352836247,0.8487691758829825,0.8120941848019978,0.8061362825544061,0.7791295041027471,0.7526578665715304,0.7694612914734213
124.0,-2.0,0.8240456653585444,0.8306100606493043,0.8186585800927577,0.8110952550838387,0.7765251516232607,0.7612914734213343,0.7893328576525152
124.0,0.0,0.8121298608633607,0.8236175526221905,0.8092400998929719,0.7948983232251159,0.7826614341776668,0.7678558687120942,0.7966464502318944
124.0,2.0,0.8050660007135212,0.8059579022475919,0.7822689975026758,0.7693899393506957,0.7762040670709953,0.7608633606849804,0.7953621120228327
124.0,4.0,0.7975740278273279,0.8040313949339992,0.7934712807706029,0.773421334284695,0.7577595433464146,0.7520156974669996,0.7872993221548341
124.0,6.0,0.7988583660363896,0.7919728861933643,0.7844095611844453,0.7688191223688905,0.7565465572600785,0.7431680342490189,0.7858009275775955
124.0,8.0,0.7821619693185873,0.7790581519800214,0.7684623617552622,0.7552622190510168,0.7407777381377096,0.7434534427399215,0.7790224759186586
124.0,10.0,0.760720656439529,0.7564752051373529,0.7451302176239742,0.7454513021762397,0.7398858366036389,0.7288619336425259,0.7536924723510524
