Z,Zs,X,Y
0.011697775862924163,0.4745514463566459,124.0,-16.0
0.011697796352020805,0.470523617722446,124.0,-14.0
0.01169783360492379,0.4632002929329916,124.0,-12.0
0.011697645477763717,0.5001830831197364,124.0,-10.0
0.011697677142731254,0.4939582570487001,124.0,-8.0
0.011697634301892822,0.5023800805565727,124.0,-6.0
0.011697787038795059,0.4723544489198096,124.0,-4.0
0.01169754116963536,0.5206883925302087,124.0,-2.0
0.011697585873118942,0.5119004027828634,124.0,0.0
0.01169751881789357,0.5250823874038814,124.0,2.0
0.01169725059699208,0.5778103258879531,124.0,4.0
0.011697410784474914,0.5463200292932991,124.0,6.0
0.011697475977055137,0.5335042109117539,124.0,8.0
0.011697584010473792,0.5122665690223361,124.0,10.0
0.011697606362215583,0.5078725741486635,124.0,12.0
0.011697218932024543,0.5840351519589894,124.0,14.0
0.011697513229958122,0.5261808861222995,124.0,16.0
0.011697358630410735,0.5565726839985353,124.0,18.0
0.011697399608604019,0.5485170267301355,124.0,20.0
0.011697859681955879,0.4580739655803735,124.0,22.0
0.011697617538086479,0.5056755767118272,124.0,24.0
0.011697366080991332,0.5551080190406444,124.0,26.0
0.011697531856409614,0.5225192237275723,124.0,28.0
0.011697941638342445,0.4419626510435738,124.0,30.0
0.011697803802601402,0.4690589527645551,124.0,32.0
0.011697649203054016,0.4994507506407909,124.0,34.0
0.011698830120078628,0.2673013548150861,124.0,36.0
0.011698498569242065,0.33247894544123036,124.0,38.0
0.011699692524782722,0.09776638593921638,124.0,40.0
0.011697973303309982,0.43573782497253755,126.0,-14.0
0.01169754303228051,0.520322226290736,126.0,-12.0
0.011697550482861106,0.5188575613328451,126.0,-10.0
0.011697941638342445,0.4419626510435738,126.0,-8.0
0.011697787038795059,0.4723544489198096,126.0,-6.0
0.011697511367312972,0.5265470523617722,126.0,-4.0
0.011697656653634612,0.49798608568290004,126.0,-2.0
0.011697697631827896,0.4899304284145002,126.0,0.0
0.011697502054087226,0.5283778835591358,126.0,2.0
0.011697524405829017,0.5239838886854632,126.0,4.0
0.0116973232401529,0.563529842548517,126.0,6.0
0.011697578422538345,0.5133650677407543,126.0,10.0
0.011697477839700286,0.5331380446722812,126.0,12.0
0.011697377256862228,0.5529110216038081,126.0,14.0
0.011697233833185737,0.5811058220432076,126.0,16.0
0.011697343729249542,0.5595020139143171,126.0,18.0
0.011697563521377151,0.5162943976565361,126.0,20.0
0.011697900660149162,0.45001830831197365,126.0,22.0
0.011698278777114456,0.3756865616990114,126.0,24.0
0.011697723708859985,0.4848041010618821,126.0,26.0
0.011697634301892822,0.5023800805565727,126.0,28.0
0.011697539306990211,0.5210545587696814,126.0,30.0
